Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2911795061312,"[Theme/I] : ActiveUserChanged : To   : [ANONYMOUS(userId = ffffffff)]
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2911795571532,"[Theme/I] : Apply [ANONYMOUS] : [Option:101000]: with not preloaded user
"
PROCESS_OUTPUT,STREAM_STDIO,39,100135,2911824590720,"[mbus] onNewClient. clientNum 10 over 8
"
CP_KERNEL_OUTPUT,STREAM_SYSCON,0,0,1826725898,"[avs] no need to change 3,8,2911815994566
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911845290064,"New input system (experimental) initialized
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911938994323,"[Subsystems] Discovering subsystems at path /app0/Media/UnitySubsystems
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911940343035,"GfxDevice: creating device client; threaded=1; jobified=1
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911941459277,"GfxDevice...
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911942572192,"    Vendor:   SCE
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911943681557,"    Version:  0x10508001
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911944702514,"    Renderer: Gnm, native gfx jobs
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911945622389,"    Garlic memory: 2560MiB
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911953087572,"Initialize engine version: 2022.3.4f1 (35713cd46cd7)
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2912116774042,"D/99301:AudioOut:
sceAudioOutGetPortState() is called.
R4162 Test is required.
"
PROCESS_OUTPUT,STREAM_STDIO,42,100206,2912126640807,"[SL] AppFocusChanged [NPXS20001] -> [NPXX51362]
"
PROCESS_OUTPUT,STREAM_STDIO,42,100222,2912129789617,"[PS]Error: W:\Build\J02628840\vsh\shell\shell_core\process_starter\process_mount.cpp at 1218
"
PROCESS_OUTPUT,STREAM_STDIO,42,100222,2912129889929,"sceRifManagerPlayFirstTrialSwitchTimerState return 809c0201 [ent=ED1633-NPXX51362_00-0000000000000000, user=107182a4 pft=6]
"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,2912130862368,"[AppDb] openDb()[1026]: [File:Open] openDb() call dbutil::Connection::Open() path[/xl6jzK5Xch/priv/mms/app.db] flags[0x10000002"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,2912130920783,"] result[0x0, 0]
"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,2912131109694,"[AppDb] AppInfoDbInitializeDaemon()[54]: [File:Open] AppInfoDbInitializeDaemon() call DbAccessor::Init() path[/xl6jzK5Xch/priv/"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,2912131212739,"mms/app.db] result[0x0, 0].
"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,2912133046923,"[AppDb] AppInfoDbTerminateDaemon()[67]: [File:Close] AppInfoDbTerminateDaemon() call DbAccessor::Terminate().
"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,2912133231681,"[AppDb] Terminate()[764]: [File:Close] DbAccessor::Terminate() call dbutil::Connection::Close().
"
PROCESS_OUTPUT,STREAM_STDIO,44,100615,2912435699368,"#PROFILE CACHE#: \profile_cache_server_event.cpp(38) : onNewClient : 
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912439860083,"[PSM] PsmFramework::Initialize
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912440023072,"PSM:53fb90d8e3aa1a694ccf0e05225d2a64860f0c1c
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912440071441,"MonoVM:85d0c67fcc94e2add1cf06639fe62290f2a47522
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912440124458,"BootParam :1   
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912440166733,"[PSM] set assembly path for mono
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912440211044,"[PSM] Loading Json
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912448678068,"[PSM] Loading PsmUtil
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912470036528,"[PSM] Loading Mono: libmono-btls-shared
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912481954628,"[PSM] Loading Mono: libmonosgen-2.0
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912501102220,"[PSM] LoadModulesInBG 0 msec
"
PROCESS_OUTPUT,STREAM_STDIO,72,101716,2912501199834,"[PSM] Loading SysCore
"
